"filename", "language", "PHP", "MS SQL", "Diff", "JavaScript", "CSS", "HTML", "SVG", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\python\python.js", "JavaScript", 0, 0, 0, 322, 0, 0, 0, 0, 0, 26, 55, 403
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\q\q.js", "JavaScript", 0, 0, 0, 133, 0, 0, 0, 0, 0, 3, 4, 140
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\r\r.js", "JavaScript", 0, 0, 0, 170, 0, 0, 0, 0, 0, 4, 17, 191
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\rpm\rpm.js", "JavaScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 6, 18, 110
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\rst\rst.js", "JavaScript", 0, 0, 0, 457, 0, 0, 0, 0, 0, 26, 75, 558
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\ruby\ruby.js", "JavaScript", 0, 0, 0, 118, 0, 0, 0, 0, 0, 176, 10, 304
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\rust\rust.js", "JavaScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 7, 6, 73
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\sas\sas.js", "JavaScript", 0, 0, 0, 221, 0, 0, 0, 0, 0, 52, 31, 304
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\sass\sass.js", "JavaScript", 0, 0, 0, 360, 0, 0, 0, 0, 0, 25, 75, 460
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\scheme\scheme.js", "JavaScript", 0, 0, 0, 230, 0, 0, 0, 0, 0, 21, 34, 285
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\shell\shell.js", "JavaScript", 0, 0, 0, 147, 0, 0, 0, 0, 0, 4, 18, 169
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\sieve\sieve.js", "JavaScript", 0, 0, 0, 144, 0, 0, 0, 0, 0, 10, 40, 194
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\slim\slim.js", "JavaScript", 0, 0, 0, 527, 0, 0, 0, 0, 0, 10, 39, 576
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\smalltalk\smalltalk.js", "JavaScript", 0, 0, 0, 128, 0, 0, 0, 0, 0, 2, 39, 169
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\smarty\smarty.js", "JavaScript", 0, 0, 0, 200, 0, 0, 0, 0, 0, 7, 19, 226
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\solr\solr.js", "JavaScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 2, 17, 105
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\soy\soy.js", "JavaScript", 0, 0, 0, 545, 0, 0, 0, 0, 0, 71, 50, 666
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\sparql\sparql.js", "JavaScript", 0, 0, 0, 171, 0, 0, 0, 0, 0, 2, 18, 191
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\spreadsheet\spreadsheet.js", "JavaScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 7, 10, 113
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\sql\sql.js", "JavaScript", 0, 0, 0, 363, 0, 0, 0, 0, 0, 103, 38, 504
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\stex\stex.js", "JavaScript", 0, 0, 0, 221, 0, 0, 0, 0, 0, 16, 28, 265
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\stylus\stylus.js", "JavaScript", 0, 0, 0, 627, 0, 0, 0, 0, 0, 80, 69, 776
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\swift\swift.js", "JavaScript", 0, 0, 0, 139, 0, 0, 0, 0, 0, 72, 13, 224
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\tcl\tcl.js", "JavaScript", 0, 0, 0, 133, 0, 0, 0, 0, 0, 3, 5, 141
